2023-11-19 17:47:20.825 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.8 on otaehun-ui-MacBookAir.local with PID 83672 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/1118/T-Store1117/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/1118/T-Store1117)
2023-11-19 17:47:20.827 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-19 17:47:20.829 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-19 17:47:21.167 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-19 17:47:21.167 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-19 17:47:22.471 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8087 (http)
2023-11-19 17:47:22.485 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8087"]
2023-11-19 17:47:22.487 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-19 17:47:22.487 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-19 17:47:22.544 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-19 17:47:22.545 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1377 ms
2023-11-19 17:47:23.389 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-19 17:47:23.500 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4c761cbe, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@25b4181, org.springframework.security.web.context.SecurityContextPersistenceFilter@28a0131f, org.springframework.security.web.header.HeaderWriterFilter@5a935b2c, org.springframework.security.web.csrf.CsrfFilter@410c0ef2, org.springframework.security.web.authentication.logout.LogoutFilter@fe643a6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@12db8706, org.springframework.security.web.session.ConcurrentSessionFilter@7030508e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@8a8f9db, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a209865, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26001eea, org.springframework.security.web.session.SessionManagementFilter@17ff8188, org.springframework.security.web.access.ExceptionTranslationFilter@507104f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@264b0a3]
2023-11-19 17:47:23.738 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-19 17:47:23.768 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8087"]
2023-11-19 17:47:23.782 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8087 (http) with context path ''
2023-11-19 17:47:23.784 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Starting...
2023-11-19 17:47:23.784 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@584a6e60]]
2023-11-19 17:47:23.785 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Started.
2023-11-19 17:47:23.798 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.324 seconds (JVM running for 4.25)
2023-11-19 17:48:23.258 INFO  [MessageBroker-1] [o.s.w.s.c.WebSocketMessageBrokerStats] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
